OUT_ID	kingdom	phylum	class	order	family	genus	species
922724	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
322927	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
4290381	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae		
586356	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Anaerovorax	
586350	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae		
512897	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
912669	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
1111496	k__Bacteria	p__Acidobacteria	c__DA052	Ellin6513			
591699	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	adhaesivum
4393102	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes				
827968	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Acidaminobacteraceae	Fusibacter	
149122	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
1096028	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	
1117097	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales			
928406	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	stutzeri
837779	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	
1667535	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae		
1667532	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Intrasporangiaceae		
675357	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
2297611	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
808437	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
217365	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1				
589792	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	sanguinis
518065	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
1042671	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
513073	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
563918	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Clostridiaceae		
513078	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
4302302	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Beijerinckiaceae		
818174	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Saprospiraceae		
4340623	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	
352559	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Lachnospiraceae		
113334	k__Bacteria	p__WS3	c__PRR-12	Sediment-1			
895220	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	
543458	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae		
769222	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
698296	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	Oscillatoriales	Phormidiaceae		
511452	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Legionellales	Coxiellaceae		
4468965	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rickettsiales	mitochondria		
295188	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales	S24-7		
795901	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3				
179879	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	
1038712	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae		
1028964	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
557235	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Bacillaceae	Marinibacillus	
417366	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Methylocystaceae		
982582	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
941803	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
950922	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Tissierellaceae	Peptoniphilus	
529644	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	SC-I-84			
4301190	k__Bacteria	p__Firmicutes	c__Clostridia	Thermoanaerobacterales			
747857	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
4309764	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
751138	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
12589	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
745987	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobaca	
585221	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
1137392	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Streptosporangiaceae	Sphaerisporangium	
541327	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Gaiellales			
750840	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae		
555981	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
123055	k__Bacteria	p__Nitrospirae	c__Nitrospira	Nitrospirales	Leptospirillaceae		
242437	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Microbacteriaceae	Salinibacterium	
219667	k__Bacteria	p__Planctomycetes	c__Planctomycetia	Pirellulales	Pirellulaceae		
375541	k__Bacteria	p__FBP	c__				
987696	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	cryoconitis
226508	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	
127534	k__Bacteria	p__Bacteroidetes	c__Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	
822489	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
1065187	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
588216	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
646129	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	
199962	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
209762	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
896338	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Myxococcales			
73324	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
4297239	k__Bacteria	p__Acidobacteria	c__DA052	Ellin6513			
466882	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	
735769	k__Bacteria	p__Cyanobacteria	c__Chloroplast	Streptophyta			
527397	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Sinobacteraceae		
4378777	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	Pedosphaerales			
843459	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Clostridiaceae		
628293	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	
542475	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	
817995	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales	Ruminococcaceae		
286918	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales			
1001007	k__Bacteria	p__Firmicutes	c__Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
110215	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	
4302554	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	Gaiellales	Gaiellaceae		
533457	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
364903	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
1033380	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Actinomycetales	Nocardioidaceae		
4294451	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	
1059762	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	Xanthomonadales	Sinobacteraceae		
141861	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	RB41	Ellin6075		
153109	k__Bacteria	p__Firmicutes	c__Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	
330921	k__Bacteria	p__Firmicutes	c__Clostridia	Clostridiales			
254469	k__Bacteria	p__Firmicutes	c__Bacilli	Lactobacillales	Aerococcaceae	Facklamia	
875704	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	Saprospirales	Chitinophagaceae		
